id,date,price,lat,lon
253,1/31,268.53,40.614389,-74.083854
254,1/31,268.53,40.803816,-73.942063
255,1/31,268.53,40.618946,-73.933313
256,1/31,268.53,40.709878,-73.738861
257,2/1,268.5,40.577930,-73.998219
258,2/1,268.5,40.821838,-73.905218
259,2/1,268.5,40.821838,-73.905218
260,2/1,268.5,40.794751,-73.939005
261,2/2,268.58,40.833650,-73.906338
262,2/2,268.58,40.643533,-73.943985
263,2/2,268.58,40.697187,-73.784221
264,2/2,268.58,40.609541,-74.159097
265,2/2,268.58,40.609541,-74.159097
266,2/2,268.58,40.609541,-74.159097
267,2/2,268.58,40.666011,-73.866446
268,2/2,268.58,40.798978,-73.949251
269,2/2,268.58,40.667813,-73.865554
270,2/3,268.64,40.601284,-73.748974
271,2/3,268.64,40.601284,-73.748974
272,2/3,268.64,40.836536,-73.904279
273,2/3,268.64,40.671145,-73.926902
274,2/3,268.64,40.798978,-73.949251
275,2/4,268.63,40.822747,-73.949846
276,2/4,268.63,40.709560,-73.996746
277,2/4,268.63,40.664679,-73.909130
278,2/4,268.63,40.800133,-73.948408
279,2/4,268.63,40.833991,-73.905743
280,2/4,268.63,40.676958,-74.007192
281,2/4,268.63,40.675980,-74.008194
282,2/5,268.64,40.823170,-73.919193
283,2/5,268.64,40.641648,-73.937057
284,2/5,268.64,40.600637,-73.984824
285,2/6,268.66,40.681290,-73.951980
286,2/6,268.66,40.824920,-73.902775
287,2/6,268.66,40.674896,-74.002504
288,2/7,268.58,40.715179,-73.749380
289,2/7,268.58,40.830109,-73.946946
290,2/7,268.58,40.830109,-73.946946
291,2/7,268.58,40.653501,-73.935416
292,2/7,268.58,40.653501,-73.935416
293,2/7,268.58,40.653501,-73.935416
294,2/7,268.58,40.635342,-73.885337
295,2/7,268.58,40.635342,-73.885337
296,2/7,268.58,40.635342,-73.885337
297,2/7,268.58,40.635342,-73.885337
298,2/7,268.58,40.720628,-73.977784
299,2/7,268.58,40.720628,-73.977784
300,2/8,268.49,40.612328,-73.975790
301,2/8,268.49,40.612328,-73.975790
302,2/8,268.49,40.676623,-73.790669
303,2/8,268.49,40.676623,-73.790669
304,2/8,268.49,40.602505,-73.748662
305,2/8,268.49,40.602505,-73.748662
306,2/8,268.49,40.796313,-73.938272
307,2/8,268.49,40.619892,-73.911380
308,2/8,268.49,40.619680,-73.914859
309,2/8,268.49,40.619680,-73.914859
310,2/8,268.49,40.619680,-73.914859
311,2/8,268.49,40.574850,-73.989768
312,2/8,268.49,40.637161,-74.086542
313,2/8,268.49,40.826050,-73.902836
314,2/9,268.45,40.663728,-73.953849
315,2/9,268.45,40.663728,-73.953849
316,2/9,268.45,40.663167,-73.945880
317,2/9,268.45,40.817492,-73.960664
318,2/9,268.45,40.632262,-74.137669
319,2/9,268.45,40.797702,-73.946037
320,2/9,268.45,40.593387,-73.753148
321,2/9,268.45,40.593387,-73.753148
322,2/9,268.45,40.801405,-73.933814
323,2/9,268.45,40.688401,-73.951164
324,2/9,268.45,40.834025,-73.904694
325,2/10,268.4,40.578920,-73.998406
326,2/10,268.4,40.577365,-73.990829
327,2/10,268.4,40.646388,-73.970845
328,2/10,268.4,40.646388,-73.970845
329,2/10,268.4,40.646388,-73.970845
330,2/10,268.4,40.674201,-73.937609
331,2/10,268.4,40.674201,-73.937609
332,2/10,268.4,40.832692,-73.906319
333,2/11,268.38,40.674112,-73.998073
334,2/11,268.38,40.668216,-73.902129
335,2/11,268.38,40.598211,-73.748161
336,2/11,268.38,40.679121,-73.870369
337,2/11,268.38,40.679121,-73.870369
338,2/11,268.38,40.679121,-73.870369
339,2/11,268.38,40.824460,-73.903003
340,2/11,268.38,40.823850,-73.902667
341,2/12,268.32,40.765696,-73.891890
342,2/12,268.32,40.677358,-74.010199
343,2/12,268.32,40.677358,-74.010199
344,2/12,268.32,40.824340,-73.904196
345,2/12,268.32,40.805248,-73.934689
346,2/12,268.32,40.805248,-73.934689
347,2/12,268.32,40.608564,-73.994137
348,2/13,268.3,40.667615,-73.864847
349,2/14,268.21,40.797960,-73.943026
350,2/14,268.21,40.792199,-73.947737
351,2/14,268.21,40.776779,-73.934510
352,2/14,268.21,40.776779,-73.934510
353,2/14,268.21,40.772702,-73.932675
354,2/14,268.21,40.772702,-73.932675
355,2/14,268.21,40.905859,-73.847463
356,2/14,268.21,40.905859,-73.847463
357,2/14,268.21,40.632803,-73.883927
358,2/14,268.21,40.811258,-73.948970
359,2/14,268.21,40.634141,-73.928504
360,2/15,268.14,40.637138,-73.933683
361,2/15,268.14,40.637138,-73.933683
362,2/15,268.14,40.651042,-73.935810
363,2/15,268.14,40.782937,-73.944099
364,2/15,268.14,40.782937,-73.944099
365,2/15,268.14,40.748107,-73.947355
366,2/15,268.14,40.784057,-73.952642
367,2/15,268.14,40.784057,-73.952642
368,2/16,267.95,40.651404,-73.937148
369,2/16,267.95,40.822904,-73.904713
370,2/16,267.95,40.773972,-73.932434
371,2/16,267.95,40.773972,-73.932434
372,2/16,267.95,40.787969,-73.938220
373,2/16,267.95,40.787969,-73.938220
374,2/17,268.06,40.738775,-73.986989
375,2/17,268.06,40.690486,-73.939515
376,2/17,268.06,40.641925,-74.086677
377,2/17,268.06,40.641925,-74.086677
378,2/17,268.06,40.684189,-73.989181
379,2/18,268.09,40.834353,-73.904806
380,2/18,268.09,40.825794,-73.947557
381,2/18,268.09,40.825794,-73.947557
382,2/18,268.09,40.719401,-74.003759
